Type,Name,Date,Depth,Vol (mL),Size,sample.type,Station,Notes,Run.Date
POM,QF6270,5/18/21,5,8400,0.7,0.7 size frac,QU39,,
POM,QF6271,5/18/21,5,8400,3,3 size frac,QU39,,
POM,QF6272,5/18/21,5,8400,20,20 size frac,QU39,,
POM,F90-01,5/18/21,"0, 5, 10, 20, 30",10000,bulk,90-mm diameter GF/F,QU39,,
POM,QF6274,5/19/21,5,8000,0.7,0.7 size frac,QU39,,
POM,QF6275,5/19/21,5,8000,20,20 size frac,QU39,,
POM,QF6276,5/19/21,5,8000,3,3 size frac,QU39,,
POM,F90-02,5/19/21,"0, 5, 10, 20, 30",10000,bulk,90-mm diameter GF/F,QU39,,
POM,QF6278,5/20/21,5,10000,0.7,0.7 size frac,QU39,* I wrote 3 um on the filter holder but THAT IS WRONG,6/3/21
POM,QF6279,5/20/21,5,10000,20,20 size frac,QU39,,6/3/21
POM,QF6280,5/20/21,5,10000,3,3 size frac,QU39,* I wrote 0.7 on the filter holder but THAT IS WRONG,6/3/21
POM,F90-03,5/20/21,"0, 5, 10, 20, 30",10000,bulk,90-mm diameter GF/F,QU39,,6/3/21
POM,QF8701,7/20/21,5,10000,0.7,0.7 um size frac,QU39,,
POM,QF8712,7/20/21,5,10000,3,3 um size frac,QU39,,
POM,QF8707,7/20/21,5,10000,20,20 um size frac,QU39,,
POM,F90-04,7/20/21,"0, 5, 10, 20, 30",6690,bulk,90-mm diameter GF/F,QU39,,
POM,F90-05,7/20/21,5,2460,bulk,90-mm diameter GF/F,QU39,,
POM,QF8703,7/21/21,5,10000,0.7,0.7 um size frac,QU39,,8/11/21
POM,QF8708,7/21/21,5,10000,3,3 um size frac,QU39,,8/11/21
POM,QF8709,7/21/21,5,10000,20,20 um size frac,QU39,,8/11/21
POM,F90-06,7/21/21,"0, 5, 10, 20, 30",10000,bulk,90-mm diameter GF/F,QU39,,8/11/21
POM,F90-07,7/21/21,5,3340,bulk,90-mm diameter GF/F,QU39,,8/11/21
POM,QF8705,7/22/21,5,10000,0.7,0.7 _m,QU39,,
POM,QF8710,7/22/21,5,10000,20,20 _m,QU39,,
POM,QF8711,7/22/21,5,10000,3,3 _m,QU39,,
POM,F90-08,7/22/21,"0, 5, 10, 20, 30",10000,bulk,90-mm diameter GF/F,QU39,,
POM,QF8714,9/1/21,5,9200,0.7,0.7 um size frac,QU39,,
POM,QF8715,9/1/21,5,9200,20,20 um size frac,QU39,,
POM,QF8716,9/1/21,5,9200,3,3 um size frac,QU39,,
POM,F90-09,9/1/21,"0, 5, 10, 20, 30",10000,bulk,90-mm diameter GF/F,QU39,,
POM,F90-10,9/1/21,5,8000,bulk,90-mm diameter GF/F,QU39,,
POM,QF8717,9/2/21,5,10000,0.7,0.7 um size frac,QU39,,
POM,QF8718,9/2/21,5,10000,20,20 um size frac,QU39,,
POM,QF8719,9/2/21,5,10000,3,3 um size frac,QU39,,
POM,F90-11,9/2/21,"0, 5, 10, 20, 30",10000,bulk,90-mm diameter GF/F,QU39,,
POM,F90-12,9/2/21,5,4000,bulk,90-mm diameter GF/F,QU39,,
POM,QF8721,11/2/21,5,10000,0.7,0.7 um size frac,QU3,,
POM,QF8722,11/2/21,5,10000,20,20 um size frac,QU3,,
POM,QF8723,11/2/21,5,10000,3,3 um size frac,QU3,,
POM,F90-13,11/2/21,5,8000,bulk,90-mm diameter GF/F,QU3,,
POM,QF8725,11/3/21,5,10000,0.7,0.7 um size frac,QU3,,
POM,QF8726,11/3/21,5,10000,20,20 um size frac,QU3,,
POM,QF8727,11/3/21,5,10000,3,3 um size frac,QU3,,
POM,F90-14,11/3/21,5,4000,bulk,90-mm diameter GF/F,QU3,,
POM,QF8713,1/12/22,5,10000,0.7,0.7 um size frac,QU3,,
POM,QF8729,1/12/22,5,10000,20,20 um size frac,QU3,,
POM,QF8733,1/12/22,5,10000,3,3 um size frac,QU3,,
POM,F90-15,1/12/22,5,4490,bulk,90-mm diameter GF/F,QU3,,
POM,QF8735,1/13/22,5,12000,0.7,0.7 um size frac,QU39,,
POM,QF8736,1/13/22,5,12000,20,20 um size frac,QU39,,
POM,QF8737,1/13/22,5,12000,3,3 um size frac,QU39,,
POM,F90-16,1/13/22,"0, 5, 10, 20, 30",10000,bulk,90-mm diameter GF/F,QU39,,
POM,QF8739,1/14/22,5,16000,0.7,0.7 um size frac,QU3,,
POM,QF8740,1/14/22,5,16000,20,20 um size frac,QU3,,
POM,QF8741,1/14/22,5,16000,3,3 um size frac,QU3,,
POM,F90-17,1/14/22,5,6000,bulk,90-mm diameter GF/F,QU3,,
POM,QF8743,1/15/22,5,16000,0.7,0.7 um size frac,QU39,,
POM,QF8744,1/15/22,5,16000,20,20 um size frac,QU39,,
POM,QF8800,1/15/22,5,16000,3,3 um size frac,QU39,,
POM,F90-18,1/15/22,"0, 5, 10, 20, 30",10000,bulk,90-mm diameter GF/F,QU39,,
POM,QF8802,3/30/22,5,10000,0.7,0.7 um size frac,QU39,,
POM,QF8803,3/30/22,5,10000,20,20 um size frac,QU39,,
POM,QF8804,3/30/22,5,10000,3,3 um size frac,QU39,,
POM,F90-19,3/30/22,"0, 5, 10, 20, 30",10000,bulk,90-mm diameter GF/F,QU39,,
POM,F90-20,3/30/22,5,7330,bulk,90-mm diameter GF/F,QU39,,
