ACTION,event_pk,Replicate Number,Date,Work Area,Organization,Project,Survey,Sampling Bout,Site ID,Lat,Long,Gather Lat,Gather Long,Collection Method,Line Out Depth,Pressure Transducer Depth (m),Volume (ml),Collected,Preserved,Analyzed,Lab Technician,Project Specific ID,Hakai ID,Blank,Solid Standard,Filter Size (mm),Filter Type,Volume of Acetone (ml),Flurometer Serial #,Calibration,Acid Ratio Correction Factor,Acidification Coefficient,Calibration Slope,Before Acid,After Acid,Acid Flag,Dilution Factor,Chla,Chla Flag,Chla Final,Phaeo,Phaeo Flag,Phaeo Final,Analyzing Lab,Sample Status,Quality Level,Comments,Quality Log
,11321927,1,2021-01-04,QUADRA,HAKAI,BIOMARATHON,BIOWEEKLY,2,QU38,50.1172,-125.2226,,,,1,,250,2021-01-04 10:40:49,,2021-01-16 13:04:08,,,QCHL11756,,,,20um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,8871.14,7127.68,,1,0.083223686,,,0.168712656,,,HAKAI,Results,Technicianm,,"1: Event Metadata QCd by KH2: Nutrient MetadataQCd by FM"
,11321927,1,2021-01-04,QUADRA,HAKAI,BIOMARATHON,BIOWEEKLY,2,QU38,50.1172,-125.2226,,,,1,,250,2021-01-04 10:40:49,,2021-01-16 13:04:43,,,QCHL11757,,,,3um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,10827.17,7915.19,,1,0.139002735,,,0.140769087,,,HAKAI,Results,Technicianm,,"1: Event Metadata QCd by KH2: Nutrient MetadataQCd by FM"
,11321927,1,2021-01-04,QUADRA,HAKAI,BIOMARATHON,BIOWEEKLY,2,QU38,50.1172,-125.2226,,,,1,,250,2021-01-04 10:40:49,,2021-01-16 13:05:19,,,QCHL11758,,,,GF/F,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,20405.91,11224.96,,1,0.43825066,,,-0.041491075,SVD,,HAKAI,Results,Technicianm,,"1: Event Metadata QCd by KH2: Nutrient MetadataQCd by FM"
,11321927,1,2021-01-04,QUADRA,HAKAI,BIOMARATHON,BIOWEEKLY,2,QU38,50.1172,-125.2226,,,,1,,250,2021-01-04 10:40:49,,2021-01-16 13:05:57,,,QCHL11759,,,,Bulk GF/F,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,29001.49,22551.35,,1,0.307896036,,,0.489208299,,,HAKAI,Results,Technicianm,,"1: Event Metadata QCd by KH2: Nutrient MetadataQCd by FM"
,11332895,1,2021-01-06,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,50.0315,-125.10048,,0,,250,2021-01-06 10:22:00,2021-01-06 13:36:00,2021-01-16 12:30:04,"emma.myers,eva.jordison,meagan.abele",,QCHL12104,,,,20um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,6182.42,4591.18,,1,0.075957497,,,0.086323231,,,HAKAI,Results,Technicianm,,"1: CHL metadata QCd by MA2: Event Metadata QCd by MA"
,11332895,1,2021-01-06,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,50.0315,-125.10048,,0,,250,2021-01-06 10:22:00,2021-01-06 13:36:00,2021-01-16 12:31:38,"emma.myers,eva.jordison,meagan.abele",,QCHL12105,,,,3um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,9145.52,6280.88,,1,0.13674297,,,0.085262217,,,HAKAI,Results,Technicianm,,"1: CHL metadata QCd by MA2: Event Metadata QCd by MA"
,11332895,1,2021-01-06,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,50.0315,-125.10048,,0,,250,2021-01-06 10:22:00,2021-01-06 13:36:00,2021-01-16 12:33:30,"emma.myers,eva.jordison,meagan.abele",,QCHL12106,,,,GF/F,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,10252.18,8019.91,,1,0.106556925,,,0.176916349,,,HAKAI,Results,Technicianm,,"1: CHL metadata QCd by MA2: Event Metadata QCd by MA"
,11332895,1,2021-01-06,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,50.0315,-125.10048,,0,,250,2021-01-06 10:22:00,2021-01-06 13:36:00,2021-01-16 12:34:46,"emma.myers,eva.jordison,meagan.abele",,QCHL12107,,,,Bulk GF/F,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,26004.09,19673.16,,1,0.302205573,,,0.393165708,,,HAKAI,Results,Technicianm,,"1: CHL metadata QCd by MA2: Event Metadata QCd by MA"
,11332895,1,2021-01-06,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,50.0315,-125.10048,,5,5.7747564,250,2021-01-06 10:22:00,2021-01-06 13:36:00,2021-01-16 12:37:26,"emma.myers,eva.jordison,meagan.abele",,QCHL12108,,,,20um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,2861.79,2218.71,,1,0.030697285,,,0.047725664,,,HAKAI,Results,Technicianm,,"1: CHL metadata QCd by MA2: Event Metadata QCd by MA"
,11332895,1,2021-01-06,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,50.0315,-125.10048,,5,5.7747564,250,2021-01-06 10:22:00,2021-01-06 13:36:00,2021-01-16 12:38:40,"emma.myers,eva.jordison,meagan.abele",,QCHL12109,,,,3um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,6065.42,4356.72,,1,0.081564425,,,0.072429035,,,HAKAI,Results,Technicianm,,"1: CHL metadata QCd by MA2: Event Metadata QCd by MA"
,11332895,1,2021-01-06,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,50.0315,-125.10048,,5,5.7747564,250,2021-01-06 10:22:00,2021-01-06 13:36:00,2021-01-16 12:39:18,"emma.myers,eva.jordison,meagan.abele",,QCHL12110,,,,GF/F,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,13156.87,10488.87,,1,0.127356402,,,0.243385205,,,HAKAI,Results,Technicianm,,"1: CHL metadata QCd by MA2: Event Metadata QCd by MA"
,11332895,1,2021-01-06,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,50.0315,-125.10048,,5,5.7747564,250,2021-01-06 10:22:00,2021-01-06 13:36:00,2021-01-16 12:40:04,"emma.myers,eva.jordison,meagan.abele",,QCHL12111,,,,Bulk GF/F,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,20933.65,16087.49,,1,0.231330398,,,0.337301104,,,HAKAI,Results,Technicianm,,"1: CHL metadata QCd by MA2: Event Metadata QCd by MA"
,11332895,1,2021-01-06,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,50.0315,-125.10048,,10,10.6903811,250,2021-01-06 10:22:00,2021-01-06 13:36:00,2021-01-16 12:40:40,"emma.myers,eva.jordison,meagan.abele",,QCHL12112,,,,20um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,2363.97,1847.06,,1,0.024674587,,,0.04061195,,,HAKAI,Results,Technicianm,,"1: CHL metadata QCd by MA2: Event Metadata QCd by MA"
,11332895,1,2021-01-06,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,50.0315,-125.10048,,10,10.6903811,250,2021-01-06 10:22:00,2021-01-06 13:36:00,2021-01-16 12:41:23,"emma.myers,eva.jordison,meagan.abele",,QCHL12113,,,,3um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,4637.5,3457.13,,1,0.056344706,,,0.065851673,,,HAKAI,Results,Technicianm,,"1: CHL metadata QCd by MA2: Event Metadata QCd by MA"
,11332895,1,2021-01-06,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,50.0315,-125.10048,,10,10.6903811,250,2021-01-06 10:22:00,2021-01-06 13:36:00,2021-01-16 12:42:03,"emma.myers,eva.jordison,meagan.abele",,QCHL12114,,,,GF/F,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,13930.81,10444.78,,1,0.166404887,,,0.202778307,,,HAKAI,Results,Technicianm,,"1: CHL metadata QCd by MA2: Event Metadata QCd by MA"
,11332895,1,2021-01-06,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,50.0315,-125.10048,,10,10.6903811,250,2021-01-06 10:22:00,2021-01-06 13:36:00,2021-01-16 12:42:40,"emma.myers,eva.jordison,meagan.abele",,QCHL12115,,,,Bulk GF/F,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,19889.05,15890.82,,1,0.190854643,,,0.370825323,,,HAKAI,Results,Technicianm,,"1: CHL metadata QCd by MA2: Event Metadata QCd by MA"
