ACTION,event_pk,Replicate Number,Date,Work Area,Organization,Project,Survey,Sampling Bout,Site ID,Source,Lat,Long,Collection Method,Line Out Depth,Pressure Transducer Depth (m),Acidified,Acidification Method,Volume (ml),part,screen_size,Collected,Preserved,Analyzed,Lab Technician,filter_portion,Project Specific ID,Hakai ID,Weight Before (mg),Weight After (mg),Filter Size (mm),Filter Type,total_beam_n,ug N,%N,delta_air,corr_delta15n,total_beam_c,ug C,%C,delta_pdb,corr_delta13c,C:N,Analyzing Lab,C Flag,N Flag,C:N Flag,Sample Status,Quality Level,Comments,Quality Log
,4460,1,2014-11-07,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,240,,FALSE,None,3310,,,2014-11-07 09:30:32,2014-11-07 14:00:03,,,1,,QF47,131,,47,,,14.07762462,,,11.31761919,,109.518614,,,-24.00151071,,UCDAVISSIF,,SVC,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,4460,1,2014-11-07,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,5,,FALSE,None,3470,,,2014-11-07 09:30:32,2014-11-07 14:00:03,,,1,,QF48,133,,47,,,8.694338364,,,8.742602981,,72.27095128,,,-26.13617188,,UCDAVISSIF,SVC,SVD,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,4460,1,2014-11-07,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,30,,FALSE,None,3300,,,2014-11-07 09:30:32,2014-11-07 14:00:03,,,1,,QF49,132.3,,47,,,4.216369606,,,9.454267426,,47.89921338,,,-27.27847715,,UCDAVISSIF,SVC,SVD,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,4460,1,2014-11-07,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,100,,FALSE,None,3500,,,2014-11-07 09:30:32,2014-11-07 14:00:03,,,1,,QF50,131.5,,47,,,6.694714944,,,5.562436781,,37.14402947,,,-24.05682032,,UCDAVISSIF,SVC,SVD,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,4460,1,2014-11-07,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,0,,FALSE,None,3570,,,2014-11-07 09:30:32,2014-11-07 14:00:03,,,1,,QF52,129.9,,47,,,9.814883123,,,13.47552937,,108.5049047,,,-28.25063398,,UCDAVISSIF,,SVD,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,4477,1,2014-11-13,QUADRA,HAKAI,"FGS,OCEANOGRAPHY,OCEANOGRAPHY","B,QOMB,QOMA",1,QU24,M,50.03,-125.08,,0,,FALSE,None,3000,,,2014-11-13 09:00:30,2014-11-13 15:30:16,,,1,,QF60,131.6,,47,,,37.27874404,,,7.279379122,,350.0422075,,,-30.15126891,,UCDAVISSIF,,,,Results,Technicianmr,,"1: Results checked by RP.2: Checked by KP"
,4477,1,2014-11-13,QUADRA,HAKAI,"FGS,OCEANOGRAPHY,OCEANOGRAPHY","B,QOMB,QOMA",1,QU24,M,50.03,-125.08,,30,,FALSE,None,3875,,,2014-11-13 09:00:30,2014-11-13 15:30:16,,,1,,QF63,131,,47,,,36.29334287,,,5.670028645,,214.9288722,,,-28.51857963,,UCDAVISSIF,,,,Results,Technicianmr,,"1: Results checked by RP.2: Checked by KP"
,4477,1,2014-11-13,QUADRA,HAKAI,"FGS,OCEANOGRAPHY,OCEANOGRAPHY","B,QOMB,QOMA",1,QU24,M,50.03,-125.08,,240,,FALSE,None,3800,,,2014-11-13 09:00:30,2014-11-13 15:30:16,,,1,,QF64,132,,47,,,35.3323773,,,5.768299007,,228.8809738,,,-27.77989791,,UCDAVISSIF,,,,Results,Technicianmr,,"1: Results checked by RP.2: Checked by KP"
,4477,1,2014-11-13,QUADRA,HAKAI,"FGS,OCEANOGRAPHY,OCEANOGRAPHY","B,QOMB,QOMA",1,QU24,M,50.03,-125.08,,5,,FALSE,None,3400,,,2014-11-13 09:00:30,2014-11-13 15:30:16,,,1,,QF65,130.9,,47,,,42.28638413,,,5.776927764,,274.9320681,,,-29.39752152,,UCDAVISSIF,,,,Results,Technicianmr,,"1: Results checked by RP.2: Checked by KP"
,4477,1,2014-11-13,QUADRA,HAKAI,"FGS,OCEANOGRAPHY,OCEANOGRAPHY","B,QOMB,QOMA",1,QU24,M,50.03,-125.08,,100,,FALSE,None,3900,,,2014-11-13 09:00:30,2014-11-13 15:30:16,,,1,,QF66,129.7,,47,,,30.75561881,,,5.572720494,,222.9486687,,,-28.10485439,,UCDAVISSIF,,,,Results,Technicianmr,,"1: Results checked by RP.2: Checked by KP"
